round,country,position,utility,satisfaction
0,Canada,0.35144022928097174,2.4121384646714024,0.9177482511435082
0,France,0.6094684148129045,2.6827518329277336,0.9360011645124969
0,Germany,0.6855007127591833,3.187192344091585,0.9603494475175914
0,Italy,0.6533735329851245,2.8750038714412454,0.9465968659066673
0,Japan,0.687627609020107,3.503450888111277,0.9707857981257918
0,United Kingdom,0.6786459185699124,3.67051628762499,0.9751689605519084
0,United States,0.40004128361430613,2.585106606055675,0.9298968936030931
1,Canada,0.3847172589844535,2.5124428419532316,0.9250095189420253
1,France,0.6169426259631929,2.7189033542346763,0.938132915484929
1,Germany,0.6801085362201071,3.234556386249889,0.9621141855404015
1,Italy,0.656457232318191,2.9098773362528303,0.9483325545959034
1,Japan,0.6872859007496752,3.5292745931539753,0.971509340682241
1,United Kingdom,0.6792023793445001,3.708176054939084,0.976064735895172
1,United States,0.4284582078844545,2.6813872824655727,0.9359193752197649
2,Canada,0.41466658571758713,2.6027167815068784,0.9310362225568202
2,France,0.6236694159984526,2.7514397234109245,0.9399946085180517
2,Germany,0.6752555773349386,3.2732431998186358,0.9634994011782628
2,Italy,0.6592325617179509,2.941263454583256,0.9498489468563962
2,Japan,0.6869783633062867,3.552515728025037,0.9721456293440771
2,United Kingdom,0.679703194041629,3.736055173604969,0.9767074857267771
2,United States,0.454033439727588,2.768039891234481,0.9409241262145225
3,Canada,0.4416209797774074,2.68396332710516,0.9360736983073263
3,France,0.6297235270301863,2.7807224556695482,0.9416251685029129
3,Germany,0.6708879143382868,3.307338719268758,0.9646797156597021
3,Italy,0.6617303581777347,2.9695109610806396,0.951177571631433
3,Japan,0.686701579607237,3.573432587678426,0.972706467451405
3,United Kingdom,0.6801539272690451,3.76004349474567,0.9772470236750501
3,United States,0.4770511483864081,2.8460272391264976,0.9451129620469003
4,Canada,0.4658799344312456,2.7570852181436143,0.9403122513415137
4,France,0.6351722269587466,2.80707691470231,0.9430570513381618
4,Germany,0.6669570176413002,3.3380246867738665,0.9657104924426535
4,Italy,0.6639783749915402,2.9949337169282852,0.9523447235751693
4,Japan,0.6864524742780922,3.5922576303647165,0.9732018232365569
4,United Kingdom,0.6805595871737196,3.7816329837723006,0.9777221579634741
4,United States,0.49776708617934623,2.916215852229313,0.9486422475867674
5,Canada,0.4877129936197,2.8228949200782223,0.9439005562281262
5,France,0.6400760568944509,2.8307959278317947,0.9443174683420705
5,Germany,0.6634192106140123,3.3622960462783205,0.9665051860896342
5,Italy,0.6660015901239652,3.0149533174678247,0.9532451143569385
5,Japan,0.6862282794818619,3.6092000626709524,0.9736401577591534
5,United Kingdom,0.6809246810879266,3.801063523896269,0.9781414795432142
5,United States,0.5164114301929905,2.979385604021847,0.9516341005435811
6,Canada,0.5073627468893089,2.8804205636161417,0.9468700249485063
6,France,0.6444895038365848,2.8499439874694614,0.9453157873529558
6,Germany,0.66549834218419,3.3828896747926724,0.9671654948547344
6,Italy,0.6678224837431477,3.0329164525360772,0.9540392241628619
6,Japan,0.6860265041652547,3.626843764621518,0.9740892190373489
6,United Kingdom,0.6812532656107129,3.822109788795537,0.9785869645562275
6,United States,0.5331913398052703,3.0331790327489925,0.9540507365079978
7,Canada,0.525047524831957,2.932193642800269,0.9494151309678167
7,France,0.6484616060845052,2.8671772411433616,0.9461998343079675
7,Germany,0.66736956059735,3.4014239404555893,0.9677490073294382
7,Italy,0.6694612880004118,3.0490832740975042,0.9547429323390833
7,Japan,0.6858449063803082,3.642723026757321,0.9744869993598811
7,United Kingdom,0.6815489916812205,3.841051427204879,0.9789803000139118
7,United States,0.5482932584563223,3.0815931186034233,0.9561270614912772
8,Canada,0.5409638249803403,2.978789414065984,0.9516066525337421
